system:index,B11,B2,B3,B4,B8,NDMI,NDVI,NDWI,Texture,class,elevation_normalized,random,.geo
1_2_46_0,3785.0,1083.0,1411.5,1796.5,3189.5,-0.9992583,-0.036624737,0.047996033,0.013249510665108856,2,0.06487386,0.3602125534638215,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.02773794007696,43.09959528030743]}"
1_2_47_0,1639.0,351.0,557.0,523.0,2606.0,-0.99956375,0.06493772,0.06657745,0.020422550735916548,2,0.058497366,0.3229102196395336,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.75015851728402,43.29524834918867]}"
1_2_48_0,2403.5,483.5,697.0,1044.5,3339.5,-0.9995883,0.13004677,0.10123373,0.018544416363420045,2,0.064596616,0.3212401910150309,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.51192530393553,43.443470371068386]}"
1_2_49_0,2266.0,497.0,690.0,784.0,3236.0,-0.9996199,0.14593582,0.089521654,0.01765658978389305,2,0.065705575,0.5922010822993763,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.66455364498928,43.559353042719806]}"
1_2_50_0,2994.0,773.0,1042.0,1121.0,2579.0,-0.9992892,-0.023573302,0.03886037,0.021849794293443674,2,0.07707236,0.19339090207353848,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.8472709737792,43.484703042609475]}"
1_2_51_0,1972.0,407.0,656.0,1086.0,3120.0,-0.99955386,0.13162476,0.08629029,0.011584885268046224,2,0.06431938,0.7663988350059525,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.4707870382047,43.36154401715669]}"
1_2_52_0,1936.0,260.0,413.0,378.0,1968.0,-0.99956197,-0.0060028457,0.10321996,0.017805729600312792,2,0.062933184,0.7479070710767085,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.4783328865913,43.24107993755626]}"
1_2_54_0,3646.0,1216.0,1510.0,1887.0,3023.0,-0.9993355,-0.04637185,0.03996668,0.016374875683687833,2,0.05322983,0.08539612753210357,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-82.27198071726535,43.015243475128614]}"
1_2_57_0,1376.0,221.0,391.0,270.0,3111.0,-0.9996323,0.16759841,0.10310814,0.008442479169541384,2,0.09564735,0.2592180636653032,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.50437945554893,42.833604124679646]}"
1_2_58_0,2809.0,1196.0,1471.0,1610.0,3075.0,-0.99907005,0.06379479,-0.045645095,0.017542320771869974,2,0.07429997,0.18682836773003808,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.55019353503901,42.976166760269415]}"
1_2_60_0,3635.5,1106.0,1407.5,1771.0,3041.5,-0.9991019,-0.03371755,-0.0030191378,0.017993022958507392,2,0.057111174,0.3937441438960957,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-82.81258685524848,42.1342656759926]}"
1_2_61_0,1427.0,180.0,371.0,212.0,2231.0,-0.99959856,0.15048698,0.09119576,0.023220565565900676,2,0.0895481,0.6213066970859409,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.87799335649609,42.070934448462175]}"
1_2_62_0,1807.0,258.0,558.0,269.0,3592.0,-0.9994175,0.03845999,0.01159556,0.018427994551214143,2,0.06265595,0.16352959040062964,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-85.9866940801564,42.254729755593026]}"
1_2_63_0,2031.5,417.0,627.0,578.5,2649.0,-0.999488,-0.010630159,0.119521864,0.011549749727988178,2,0.07873579,0.06604853551405299,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-85.48004425991299,43.07048986510196]}"
1_2_64_0,1660.5,325.5,579.5,320.0,2105.5,-0.9995355,0.07183364,0.051046025,0.015707636614785036,2,0.07402273,0.4002173565984988,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-86.2076796400498,43.64316585872816]}"
1_2_65_0,2817.0,440.0,708.0,729.0,3534.0,-0.9994209,0.04197517,0.052866705,0.022615045092740718,2,0.06598281,0.3260230775023779,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-85.75304227475691,42.97724473861036]}"
1_2_66_0,1892.5,513.5,669.0,713.0,3431.0,-0.99937886,2.7069316E-4,0.037328374,0.01799897193856562,2,0.08039922,0.13212190263155887,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-85.43153523457053,43.354806652525795]}"
1_2_67_0,2602.0,390.0,701.0,560.0,3219.0,-0.9994426,0.06491259,0.06603917,0.013470284535794018,2,0.085944,0.30225045038870624,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-85.68701610137413,43.72320575054321]}"
1_2_68_0,1852.0,187.0,438.0,179.0,3807.0,-0.99956954,0.16513538,0.095770456,0.02355065951583845,2,0.06404214,0.09646896676209638,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-82.54578721586499,43.02251982892998]}"
